"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.10.2024","5,7073","5,6662","5,7137","5,6617","","0,76%"
"24.10.2024","5,6643","5,6909","5,7205","5,6606","","-0,42%"
"23.10.2024","5,6884","5,6904","5,7326","5,6848","","-0,02%"
"22.10.2024","5,6894","5,6943","5,7182","5,6743","","-0,08%"
"21.10.2024","5,6939","5,6898","5,7354","5,6867","","0,05%"
"18.10.2024","5,6912","5,6554","5,7031","5,6289","","0,65%"
"17.10.2024","5,6546","5,6652","5,6896","5,6519","","-0,19%"
"16.10.2024","5,6652","5,6507","5,7007","5,6297","","0,27%"
"15.10.2024","5,6502","5,5952","5,6656","5,5797","","1,03%"
"14.10.2024","5,5928","5,6121","5,6522","5,5643","","-0,35%"
"11.10.2024","5,6126","5,5831","5,6537","5,5572","","0,55%"
"10.10.2024","5,5821","5,5943","5,6050","5,5665","","-0,21%"
"09.10.2024","5,5941","5,5350","5,5995","5,5306","","1,07%"
"08.10.2024","5,5349","5,4918","5,5395","5,4897","","0,82%"
"07.10.2024","5,4900","5,4557","5,4927","5,4200","","0,63%"
"04.10.2024","5,4555","5,4778","5,5199","5,4513","","-0,37%"
"03.10.2024","5,4759","5,4417","5,5116","5,4385","","0,65%"
"02.10.2024","5,4407","5,4377","5,4608","5,4037","","0,07%"
"01.10.2024","5,4368","5,4500","5,4788","5,4296","","-0,21%"
"30.09.2024","5,4482","5,4347","5,4740","5,4025","","0,28%"
"27.09.2024","5,4329","5,4399","5,4583","5,4266","","-0,08%"
"26.09.2024","5,4375","5,4749","5,4781","5,4045","","-0,73%"
"25.09.2024","5,4774","5,4556","5,4974","5,4397","","0,42%"
"24.09.2024","5,4547","5,5374","5,5422","5,4460","","-1,48%"
"23.09.2024","5,5364","5,5104","5,6005","5,5104","","0,47%"
"20.09.2024","5,5103","5,4265","5,5247","5,4153","","1,55%"
"19.09.2024","5,4263","5,4616","5,4665","5,3938","","-0,64%"
"18.09.2024","5,4612","5,4833","5,4965","5,4093","","-0,39%"
"17.09.2024","5,4825","5,5108","5,5161","5,4781","","-0,50%"
"16.09.2024","5,5100","5,5677","5,5818","5,4973","","-0,97%"
"13.09.2024","5,5640","5,6284","5,6308","5,5437","","-1,13%"
"12.09.2024","5,6276","5,6633","5,6769","5,6143","","-0,60%"
"11.09.2024","5,6618","5,6608","5,6744","5,6062","","0,06%"
"10.09.2024","5,6582","5,5837","5,6723","5,5682","","1,33%"
"09.09.2024","5,5842","5,5992","5,6410","5,5747","","-0,26%"
"06.09.2024","5,5990","5,5749","5,6022","5,5286","","0,45%"
"05.09.2024","5,5741","5,6404","5,6494","5,5694","","-1,17%"
"04.09.2024","5,6399","5,6459","5,6620","5,6154","","-0,10%"
"03.09.2024","5,6454","5,6166","5,6534","5,5757","","0,49%"
"02.09.2024","5,6177","5,6463","5,6605","5,6036","","0,13%"
"30.08.2024","5,6103","5,6279","5,6933","5,5742","","-0,29%"
"29.08.2024","5,6266","5,5656","5,6631","5,5528","","1,12%"
"28.08.2024","5,5644","5,5106","5,5706","5,5054","","1,02%"
"27.08.2024","5,5082","5,4964","5,5196","5,4756","","0,24%"
"26.08.2024","5,4950","5,4868","5,5139","5,4719","","0,16%"
"23.08.2024","5,4863","5,5856","5,6061","5,4738","","-1,74%"
"22.08.2024","5,5834","5,4863","5,5964","5,4715","","1,78%"
"21.08.2024","5,4858","5,4774","5,5109","5,4580","","0,14%"
"20.08.2024","5,4780","5,4124","5,4930","5,4052","","1,22%"
"19.08.2024","5,4121","5,4721","5,4738","5,3762","","-1,15%"
"16.08.2024","5,4753","5,4830","5,4878","5,4365","","-0,13%"
"15.08.2024","5,4827","5,4744","5,4949","5,4493","","0,18%"
"14.08.2024","5,4730","5,4553","5,4876","5,4286","","0,35%"
"13.08.2024","5,4538","5,5003","5,5033","5,4471","","-0,79%"
"12.08.2024","5,4974","5,5078","5,5236","5,4720","","-0,16%"
"09.08.2024","5,5064","5,5493","5,5545","5,4912","","-0,77%"
"08.08.2024","5,5493","5,6351","5,6554","5,5440","","-1,51%"
"07.08.2024","5,6341","5,6625","5,6631","5,5971","","-0,50%"
"06.08.2024","5,6623","5,7240","5,7262","5,6309","","-1,07%"
"05.08.2024","5,7238","5,7310","5,8657","5,7127","","-0,06%"
"02.08.2024","5,7273","5,7488","5,7944","5,6985","","-0,37%"
"01.08.2024","5,7483","5,6511","5,7536","5,6326","","1,74%"
"31.07.2024","5,6500","5,6125","5,6846","5,6080","","0,68%"
"30.07.2024","5,6121","5,6165","5,6636","5,6107","","-0,07%"
"29.07.2024","5,6159","5,6665","5,6693","5,6128","","-0,70%"
"26.07.2024","5,6557","5,6448","5,6725","5,6178","","0,20%"
"25.07.2024","5,6442","5,6543","5,6901","5,6182","","-0,17%"
"24.07.2024","5,6536","5,5870","5,6627","5,5855","","1,24%"
